AppV1 10.025706 3.000000 0.000000 3.000000 0.000000 0.000000
AppV1 20.025710 4.000000 0.000000 27.000000 0.000000 0.000000
AppV1 30.025712 6.000000 0.000000 62.000000 0.000000 7.000000
AppV1 40.025715 8.000000 0.000000 135.000000 0.000000 36.000000
AppV1 50.210490 11.000000 0.000000 242.000000 0.000000 65.000000
AppV1 60.226835 13.000000 0.000000 468.000000 0.000000 93.000000
AppV1 70.226840 12.000000 0.000000 697.000000 0.000000 130.000000
AppV1 80.226846 14.000000 0.000000 1044.000000 39.000000 194.000000
AppV1 90.374693 15.000000 0.000000 1376.000000 96.000000 251.000000
AppV1 100.397650 17.000000 1.000000 1843.000000 149.000000 304.000000
AppV1 110.397651 19.000000 1.000000 2562.000000 197.000000 352.000000
AppV1 120.397652 19.000000 1.000000 3452.000000 247.000000 442.000000
AppV1 130.458220 20.000000 1.000000 4422.000000 342.000000 574.000000
AppV1 140.532707 20.000000 1.000000 5405.000000 415.000000 710.000000
AppV1 150.532708 21.000000 1.000000 6381.000000 506.000000 825.000000
AppV1 160.532712 22.000000 1.000000 7400.000000 562.000000 904.000000
AppV1 170.551944 22.000000 1.000000 8433.000000 601.000000 989.000000
AppV1 180.551948 20.000000 3.000000 9321.000000 621.000000 1063.000000
AppV1 190.618233 21.000000 4.000000 10260.000000 681.000000 1145.000000
